rank,school,sc_entry_6yr,sc_10yr,entry_blend,oi_earnings,georgetown_npv10,collegefactual_early,payscale_early,payscale_mid,n_sources
162,Bates,59202,69498,59202,55900,175000,,,,3
163,Skidmore,46923,69363,46923,47500,120000,,,,3
164,Muhlenberg,53265,69107,53265,60100,170000,,,,3
165,Hofstra,52131,69039,52131,55700,135000,,,,3
166,Wofford,52076,68964,52076,55100,157000,,,,3
167,Washington State,53510,68905,53510,50000,230000,,,,3
168,NC State,57623,68758,57623,52300,233000,,,,3
169,DePaul,54695,68751,54695,51300,161000,,,,3
170,University of Illinois,53218,68740,52609,,288000,52000,,,3
171,University of Georgia,57565,68726,57565,49900,237000,,,,3
172,Furman,50796,68635,50796,48100,132000,,,,3
173,TCU,60435,68424,60435,52200,125000,,,,3
174,UC Santa Cruz,49716,68396,49716,46100,206000,,,,3
175,UT Dallas,57249,68227,57249,57100,231000,,,,3
176,Rhode Island School of Design,45932,68140,45932,37800,56000,,,,3
177,SUNY Albany,51380,67979,51380,56300,215000,,,,3
178,Denison University,51352,67753,51352,53700,119000,,,,3
179,Wheaton (MA),51607,67725,51607,46600,148000,,,,3
180,UC Riverside,48593,67699,48593,52800,220000,,,,3
181,Whitman,45594,67589,45594,48500,101000,,,,3
182,Ramapo College of New Jersey,53872,67541,53872,49600,206000,,,,3
183,SUNY Geneseo,51097,67316,51097,51500,200000,,,,3
184,Michigan State,55084,67253,55084,52600,210000,,,,3
185,University of Utah,55239,67170,55239,41400,259000,,,,3
186,Bradley University,59114,66852,59114,54900,200000,,,,3
187,Rhodes,48898,66651,48898,52000,170000,,,,3
188,University of New Hampshire,53671,66479,53671,49100,182000,,,,3
189,Centre,50073,66240,50073,49400,177000,,,,3
190,University of Pittsburgh,54240,66125,54240,,153000,,,,2
191,Baylor,56532,65793,56532,50300,109000,,,,3
192,Gustavus Adolphus College,51546,65607,51546,53100,168000,,,,3
193,St. Olaf,48373,65543,48373,,171000,,,,2
194,Auburn,54629,65337,54629,47300,177000,,,,3
195,Colorado College,47611,65222,47611,43600,120000,,,,3
196,Sewanee,53456,64911,53456,46600,107000,,,,3
197,San Diego State,52620,64909,52620,51000,234000,,,,3
198,University of Massachusetts Lowell,61467,64874,61467,,226000,,,,2
199,Xavier (Cincinnati),54758,64873,54758,52200,162000,,,,3
200,University of Iowa,52696,64762,52696,52600,194000,,,,3
201,Cal State Long Beach,50062,64403,50062,48800,242000,,,,3
202,Towson,54302,64390,54302,,225000,,,,2
203,University of California Merced,48475,64368,48475,,214000,,,,2
204,Smith,45731,64027,45731,46600,116000,,,,3
205,Oregon State,50843,64010,50843,50000,189000,,,,3
206,Macalester,46244,63878,46244,47000,123000,,,,3
207,Ithaca College,46305,63548,46305,52500,101000,,,,3
208,Penn State,55620,63435,49810,50900,132000,44000,,,4
209,University of Missouri,52756,63403,52756,,188000,,,,2
210,Iowa State,53873,63386,53873,51900,216000,,,,3
211,Tulane,50220,63268,50220,,47000,,,,2
212,Howard University,47379,63066,47379,49600,39000,,,,3
213,California State University Fullerton,48558,62951,48558,47800,245000,,,,3
214,Reed,38607,62927,38607,36900,77000,,,,3
215,Grinnell,49004,62830,49004,47300,190000,,,,3
216,University of Minnesota,52840,62616,49420,,235000,46000,,,3
217,Western Washington,45272,62569,45272,45900,176000,,,,3
218,University of Vermont,48164,62472,48164,46700,171000,,,,3
219,Texas Tech,52588,62454,52588,48800,186000,,,,3
220,University of Houston,52768,62377,52768,,222000,,,,2
221,Lewis & Clark College,43608,62205,43608,41600,85000,,,,3
222,Illinois State,50599,62117,50599,49000,184000,,,,3
223,Allegheny,45603,62069,45603,52500,145000,,,,3
224,University of Kansas,51217,61945,51217,47300,191000,,,,3
225,Lake Forest College,51324,61825,51324,51400,141000,,,,3
226,Susquehanna,51535,61723,51535,52900,142000,,,,3
227,Florida State,49814,61675,49814,46400,247000,,,,3
228,University of Tulsa,54779,61408,54779,46400,150000,,,,3
229,High Point,50955,61389,50955,40800,92000,,,,3
230,University of Oregon,46084,61324,46084,43700,165000,,,,3
231,LSU,49218,61251,49218,,179000,,,,2
232,University of Nevada-Reno,49182,60614,49182,45900,197000,,,,3
233,University of Washington,49411,60613,49706,,286000,50000,,,3
234,Colorado State,49748,60543,49748,45800,183000,,,,3
235,Ohio State,51438,60409,46719,,187000,42000,,,3
236,SUNY Oneonta,49723,60386,49723,,184000,,,,2
237,Florida International,47768,60249,47768,46800,229000,,,,3
238,Spelman,45676,59993,45676,49800,68000,,,,3
239,University of Arizona,47665,59979,47665,,198000,,,,2
240,The College of Wooster,43895,59629,43895,47200,128000,,,,3
241,University of Alabama,52233,59221,52233,44300,171000,,,,3
242,California State University Los Angeles,45702,59211,45702,43000,235000,,,,3
243,Hampton,42721,59159,42721,45900,50000,,,,3
244,University of Kentucky,47266,59025,47266,40100,183000,,,,3
245,Samford,49466,58469,49466,40800,112000,,,,3
246,Hope,49727,58427,49727,46800,150000,,,,3
247,Mount Holyoke,48590,58418,48590,48900,105000,,,,3
248,Mercer,50231,58354,50231,46400,158000,,,,3
249,Oberlin,38871,58343,38871,38900,40000,,,,3
250,University of Central Florida,47137,58308,47137,46000,214000,,,,3
251,Rollins College,48239,58295,48239,42800,86000,,,,3
252,VCU,47161,58128,47161,40200,160000,,,,3
253,University of Wisconsin,50251,58084,50126,,257000,50000,,,3
254,Northern Illinois,46113,57808,46113,48000,192000,,,,3
255,University of South Florida,48328,57743,48328,42400,221000,,,,3
256,University of Hawaii Manoa,45701,57624,45701,,201000,,,,2
257,Oklahoma State,46855,57413,46855,45800,191000,,,,3
258,UNC Charlotte,48812,57289,48812,,186000,,,,2
259,UTSA,46340,57131,46340,43000,196000,,,,3
260,University of North Texas,46304,57010,46304,42000,183000,,,,3
261,Juniata College,48571,56918,48571,49500,136000,,,,3
262,University of Nebraska,47692,56887,47692,49000,181000,,,,3
263,Southwestern University,49249,56878,49249,50000,116000,,,,3
264,Florida Atlantic,45647,56746,45647,40500,215000,,,,3
265,College of Charleston,43821,56416,43821,39900,155000,,,,3
266,University of North Florida,46546,56343,46546,42400,214000,,,,3
267,Agnes Scott College,41382,56274,41382,38900,129000,,,,3
268,West Virginia,45181,55939,45181,28400,193000,,,,3
269,Lawrence,40653,55789,40653,,122000,,,,2
270,East Carolina,46420,55146,46420,41200,170000,,,,3
271,UNLV,42865,55037,42865,41500,189000,,,,3
272,University of North Carolina Wilmington,46972,54967,46972,,156000,,,,2
273,Old Dominion,46732,54914,46732,44300,178000,,,,3
274,Knox,37757,54820,37757,44700,95000,,,,3
275,University of Cincinnati,48310,54810,48310,39100,146000,,,,3
276,Northern Arizona,47308,54384,47308,,174000,,,,2
277,Pratt Institute,45060,54295,45060,33200,5000,,,,3
278,Binghamton University,40580,54247,40580,65700,252000,,,,3
279,University of Louisville,46571,53899,46571,39800,157000,,,,3
280,Sarah Lawrence,34251,53603,34251,34300,42000,,,,3
281,Western Michigan,45356,53562,45356,45000,144000,,,,3
282,Cornell,39299,53460,57650,79800,333000,76000,,,4
283,Beloit,41660,53260,41660,40600,128000,,,,3
284,University of Michigan,45453,53230,50726,68700,306000,56000,,,4
285,Loyola NOLA,34092,52927,34092,42800,114000,,,,3
286,Parsons (The New School),38210,52901,38210,32800,-13000,,,,3
287,Morehouse,38267,52889,38267,49800,42000,,,,3
288,Northeastern Illinois,43801,52234,43801,34900,173000,,,,3
289,Xavier Louisiana,40643,52184,40643,48400,141000,,,,3
290,Appalachian State,43663,51836,43663,39100,164000,,,,3
291,Eckerd College,37505,51819,37505,38800,61000,,,,3
292,Eastern Michigan,43148,51793,43148,38500,156000,,,,3
293,Boise State,45251,51658,45251,31900,151000,,,,3
294,Stetson,44792,51642,44792,44500,112000,,,,3
295,Mississippi State,43487,51513,43487,44100,154000,,,,3
296,Earlham College,35430,50797,35430,33300,79000,,,,3
297,Morgan State,40065,50698,40065,,158000,,,,2
298,Tuskegee,38332,49641,38332,38900,55000,,,,3
299,University of Puerto Rico Mayagüez,32706,48992,32706,,,,,,1
300,University of Maine,43124,48653,43124,,146000,,,,2
301,University of Oklahoma,43074,48351,43074,47200,185000,,,,3
302,Purdue Northwest,48439,48318,48439,,196000,,,,2
303,Bowling Green,41281,47896,41281,42600,116000,,,,3
304,SUNY Oswego,39440,47866,39440,,179000,,,,2
305,Georgia State,37844,47384,37844,38900,123000,,,,3
306,Coastal Carolina University,38070,47258,38070,37800,149000,,,,3
307,Indiana University,44827,47156,44827,,212000,,,,2
308,Wayne State,40857,47075,40857,38400,175000,,,,3
309,Hampshire,22195,46938,22195,31200,67000,,,,3
310,University of Akron,42269,46600,42269,35700,145000,,,,3
311,Bard,31072,46543,31072,30900,49000,,,,3
312,University of South Carolina,39689,45603,39689,,176000,,,,2
313,Prairie View A&M,36350,45411,36350,34800,136000,,,,3
314,Kent State,40179,45388,40179,36800,119000,,,,3
315,SUNY Purchase,31229,45092,31229,36200,97000,,,,3
316,Liberty,39707,44813,39707,,53000,,,,2
317,University of New Mexico,37150,44792,37150,34900,134000,,,,3
318,NC A&T,36638,44440,36638,,149000,,,,2
319,Florida A&M,36153,44349,36153,,145000,,,,2
320,Wesleyan,35630,44317,40815,56500,193000,46000,,,4
321,University of Tennessee,38863,44213,38863,,171000,,,,2
322,University of North Carolina at Asheville,36947,44030,36947,36500,136000,,,,3
323,Florida Tech,41941,43137,41941,59600,62000,,,,3
324,Tennessee State,34160,42730,34160,36200,136000,,,,3
325,Clark Atlanta,28097,42712,28097,35200,-1000,,,,3
326,Arizona State,36702,41651,36702,,225000,,,,2
327,School of the Art Institute of Chicago,26742,40151,26742,25500,-71000,,,,3
328,Jackson State,30530,39060,30530,31700,93000,,,,3
329,Texas Southern,32986,38924,32986,27700,89000,,,,3
330,Temple,34008,38678,34008,31600,168000,,,,3
331,Bennington,24711,38289,24711,19700,25000,,,,3
332,Juilliard,22129,37827,22129,,-51000,,,,2
333,Belmont,34145,35329,34145,37900,88000,,,,3
334,Berklee College of Music,26462,33647,26462,27400,-110000,,,,3
