School,Accept%,SAT mid,Elite (4.0/1570 + national award),"Strong (3.95/1530, good ECs)","Solid (3.9/1480, decent ECs)",Average-strong (3.8/1420),Below-median (3.6/1350),NOTES (what's wrong / correct range)
Harvey Mudd,12.7,1535,24-33%,11-16%,5-9%,4-8%,2-6%,
Georgia Tech,12.7,1450,27-34%,18-25%,12-17%,7-12%,3-7%,
Georgetown,13.0,1480,32-40%,22-30%,12-17%,7-12%,3-7%,
Haverford,13.3,1505,30-37%,15-21%,9-14%,4-8%,2-6%,
Bates,13.3,1450,32-40%,28-35%,14-20%,7-12%,3-7%,
Hamilton,13.5,1495,31-39%,19-27%,10-15%,4-8%,2-6%,
Colgate,13.9,1490,32-40%,20-28%,11-16%,5-9%,3-7%,
Washington and Lee,14.0,1485,30-37%,19-27%,11-16%,6-11%,2-6%,
Tulane,14.0,1465,32-40%,32-40%,18-25%,8-13%,4-8%,
Wellesley,14.1,1510,29-37%,15-21%,9-14%,4-8%,2-6%,
Grinnell,14.5,1475,32-40%,22-30%,13-18%,6-11%,3-7%,
UNC Chapel Hill,15.3,1465,32-40%,22-31%,14-20%,9-14%,3-7%,
Wesleyan,16.1,1400,32-40%,25-34%,17-23%,12-17%,7-11%,
Boston College,16.2,1485,32-40%,32-40%,14-20%,6-10%,4-8%,
University of Michigan,16.4,1450,32-40%,24-33%,16-22%,11-16%,5-9%,
Babson,17.1,1455,32-40%,32-40%,27-33%,14-19%,6-10%,
Middlebury,17.5,1487,32-40%,25-35%,14-20%,7-12%,3-7%,
University of Miami,17.5,1395,32-40%,32-40%,32-40%,16-23%,8-13%,
Olin College,18.0,1505,32-40%,27-34%,10-15%,6-10%,4-8%,
Colorado College,18.5,1340,32-40%,32-40%,31-38%,19-26%,12-17%,
Rhode Island School of Design,18.7,1463,45-56%,35-44%,22-30%,15-20%,7-11%,
Carleton,20.4,1500,43-53%,31-39%,15-20%,7-12%,4-8%,
Florida A&M,20.6,1105,49-61%,46-58%,42-53%,38-47%,31-39%,
Wake Forest,20.8,1460,52-64%,52-64%,22-31%,13-18%,6-10%,
Vassar,20.9,1495,45-56%,33-41%,17-23%,8-13%,5-9%,
Smith,21.0,1485,45-56%,35-43%,18-25%,8-13%,5-9%,
Skidmore,21.1,1395,50-62%,47-58%,39-49%,22-30%,12-17%,
Holy Cross,22.0,1415,49-61%,40-49%,25-34%,18-24%,9-14%,
University of Richmond,22.2,1470,52-64%,52-64%,22-30%,12-17%,6-10%,
University of Florida,24.2,1395,51-64%,44-55%,29-36%,20-27%,11-16%,
Florida State,24.2,1345,52-64%,52-64%,48-60%,37-47%,17-24%,
Pitzer,25.2,1415,52-64%,46-58%,36-45%,21-29%,12-17%,
Trinity University,25.9,1385,52-64%,47-59%,38-47%,22-31%,13-18%,
Lehigh,25.9,1435,52-64%,52-64%,28-35%,17-23%,7-12%,
Occidental,26.0,1447,52-64%,51-63%,31-39%,19-26%,8-13%,
University of Texas at Austin,26.6,1350,52-64%,50-62%,41-51%,27-34%,16-23%,
Villanova,27.0,1450,52-64%,52-64%,30-37%,16-22%,7-11%,
Cal Poly San Luis Obispo,27.5,1340,52-64%,47-58%,32-40%,22-31%,15-20%,
Franklin and Marshall College,28.2,1380,52-64%,52-64%,52-64%,33-41%,17-23%,
Macalester,28.2,1440,52-64%,45-56%,30-37%,20-27%,10-15%,
UC San Diego,28.6,1395,52-64%,52-64%,32-40%,22-31%,13-18%,
UC Irvine,28.8,1385,52-64%,40-50%,27-34%,19-26%,13-18%,
Bucknell,28.9,1265,52-64%,52-64%,52-64%,49-61%,29-36%,
Reed,29.2,1405,52-64%,49-61%,33-41%,22-31%,13-18%,
Bryn Mawr,29.4,1390,52-64%,51-63%,35-43%,24-34%,15-21%,
Kenyon,31.0,1421,52-64%,52-64%,46-58%,24-34%,11-16%,
Lafayette,32.3,1430,52-64%,52-64%,50-62%,29-36%,15-20%,
UC Santa Barbara,33.0,1400,52-64%,48-60%,32-40%,22-30%,14-20%,
Morehouse,33.0,1110,52-64%,52-64%,52-64%,52-64%,48-60%,
Fairfield,33.3,1320,52-64%,52-64%,52-64%,52-64%,27-34%,
Western Michigan,34.1,1100,52-64%,52-64%,52-64%,52-64%,49-61%,
Oberlin,34.2,1430,52-64%,51-64%,40-49%,28-34%,14-19%,
